,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
230,ust-tsilma,100,SY,1579573471,92,35.01,37.05,41.45,11.12
231,oda,75,PT,1579573584,67,38.73,-27.07,60.8,19.53
232,tsihombe,100,IR,1579573585,97,36.67,48.48,13.57,2.84
233,jos,1,US,1579573586,70,44.85,-93.79,8.6,7.31
234,bam,28,TH,1579573588,64,15.75,104.13,77.0,10.29
235,orumiyeh,100,RU,1579573589,89,61.28,108.01,-9.81,10.94
236,east london,20,PH,1579573590,65,14.31,121.11,82.4,11.41
237,fortuna,100,KM,1579573591,80,-11.38,43.28,83.35,24.16
238,santa cruz del sur,40,SB,1579573322,84,-9.43,159.95,86.0,8.05
239,mabaruma,100,RU,1579573593,95,62.85,34.83,39.0,11.5
240,ribnitz-damgarten,100,ID,1579573408,84,4.14,96.13,80.53,8.46
241,karanganyar,0,TR,1579573597,42,36.62,29.12,46.4,24.16
242,zhaotong,1,US,1579573598,72,42.25,-75.83,12.2,5.82
243,la ronge,40,PH,1579573333,58,6.64,122.27,87.8,14.99
244,grindavik,50,SO,1579573324,75,9.49,50.81,75.81,23.4
245,terrace,100,RU,1579573601,90,56.79,105.77,-0.89,11.32
246,salamiyah,20,ID,1579573570,59,-1.27,116.83,89.6,14.99
247,praia da vitoria,0,NG,1579573604,33,12.41,4.49,68.63,8.59
248,zanjan,85,AO,1579573324,81,-15.2,12.15,75.49,11.72
249,waconia,20,PF,1579573606,74,-17.73,-149.15,86.0,16.11
250,lolua,20,EG,1579573607,88,28.42,30.78,45.36,6.85
251,yasothon,30,ID,1579573608,58,-3.8,102.27,88.39,0.29
252,yerbogachen,40,US,1579573609,81,37.46,-122.43,55.4,11.41
253,toliary,0,MR,1579573361,77,20.93,-17.03,60.8,16.11
254,jiddah,0,FR,1579573611,86,47.25,6.02,30.0,5.82
255,santa rosa,60,SO,1579573612,75,7.98,49.82,76.66,23.22
256,mitsamiouli,40,BO,1579573614,88,-17.8,-63.17,80.6,6.93
257,honiara,0,RU,1579573615,53,42.89,133.08,20.93,3.29
258,povenets,90,CA,1579573616,92,47.67,-52.73,24.01,5.82
259,velikie luki,20,ID,1579573617,59,1.3,124.91,89.6,8.05
260,meulaboh,0,VN,1579573618,48,9.18,105.15,89.15,15.21
261,fethiye,100,RU,1579573474,92,53.86,120.88,-9.11,0.56
262,broome,20,JP,1579573620,59,26.12,127.67,66.2,8.05
263,tuburan,97,KZ,1579573621,95,48.83,58.14,17.6,10.76
264,belushya guba,80,RU,1579573622,96,62.1,77.47,-18.08,1.7
265,bandarbeyla,90,BR,1579573567,88,-32.03,-52.1,74.25,15.35
266,ust-kut,0,MX,1579573625,81,22.55,-105.75,71.37,1.66
267,kuche,75,PW,1579573626,70,7.04,134.26,84.2,18.34
268,balikpapan,75,US,1579573365,74,42.92,-112.47,30.2,9.17
269,tari,1,MN,1579573628,76,45.76,106.27,8.76,1.9
270,namibe,20,RU,1579573629,93,54.17,93.3,-6.32,2.73
271,tautira,94,BY,1579573630,86,51.89,26.85,31.64,15.32
272,matay,100,CN,1579573631,81,30.65,113.77,42.8,8.95
273,bengkulu,20,RO,1579573633,79,46.43,26.4,28.4,8.05
274,half moon bay,39,NG,1579573634,30,8.48,8.52,72.54,2.37
275,nouadhibou,1,US,1579573635,74,35.39,-94.4,35.6,5.06
276,besancon,100,GL,1579573636,65,77.48,-69.36,-13.61,8.52
277,eyl,0,MR,1579573637,22,20.52,-13.05,57.38,4.12
278,santa cruz,0,AU,1579573638,23,-23.7,133.88,93.2,16.11
279,vladimiro-aleksandrovskoye,64,NO,1579573639,59,70.86,29.09,38.55,31.79
280,torbay,75,GB,1579573552,100,53.41,-2.98,43.0,4.7
281,tondano,7,MN,1579573642,54,48.01,91.64,4.98,5.08
282,ca mau,100,PE,1579573643,73,-10.07,-78.15,72.03,2.57
283,amazar,75,US,1579573387,32,37.1,-113.58,52.0,10.29
284,itoman,100,BR,1579573507,91,-15.5,-49.69,72.46,1.61
285,emba,0,ES,1579573646,60,42.78,-9.06,48.0,7.0
286,raduzhnyy,100,ZA,1579573648,94,-34.0,24.73,63.88,13.56
287,rio grande,100,RU,1579573649,89,57.7,93.28,1.0,13.13
288,tumannyy,20,US,1579573650,76,40.8,-124.16,57.0,5.82
289,teacapan,90,ID,1579573651,69,-0.95,100.35,79.77,3.83
290,kloulklubed,98,RU,1579573652,96,60.34,102.28,-17.93,6.44
291,chubbuck,5,ZA,1579573653,88,-34.15,19.02,68.0,2.24
292,mandalgovi,5,CA,1579573654,74,69.45,-133.04,-23.8,3.36
293,koshurnikovo,40,SJ,1579573382,67,78.22,15.64,19.4,34.45
294,stolin,0,AR,1579573490,55,-40.81,-63.0,62.49,10.09
295,hanchuan,100,AR,1579573659,59,-38.88,-62.07,68.5,18.92
296,asau,0,DE,1579573660,92,51.18,10.07,30.0,1.12
297,lafia,0,RU,1579573661,45,42.9,133.91,23.07,3.76
298,fort smith,100,PA,1579573663,80,7.53,-80.03,80.87,16.02
299,barawe,7,AU,1579573372,67,-20.32,118.57,95.0,12.75
300,qaanaaq,100,ES,1579573665,87,40.81,0.52,46.99,24.16
301,atar,90,CA,1579573666,84,58.81,-122.7,-2.2,6.17
302,alice springs,90,US,1579573380,76,36.62,-121.92,57.0,3.36
303,berlevag,0,AR,1579573668,61,-34.62,-68.33,74.62,14.54
304,liverpool,75,US,1579573669,40,34.14,-116.05,61.0,4.54
305,hovd,22,BR,1579573670,97,-4.28,-55.98,73.71,1.57
306,umzimvubu,87,CU,1579573672,78,22.9,-83.16,68.07,15.95
307,huarmey,41,ID,1579573673,69,-6.88,112.21,85.51,4.88
308,grand river south east,75,ES,1579573674,67,28.66,-17.92,62.6,8.05
309,karamken,100,PH,1579573675,89,15.22,121.41,71.19,10.56
310,saint george,44,UY,1579573677,96,-33.7,-53.46,70.7,5.7
311,uruana,100,RE,1579573610,88,-21.34,55.48,77.0,3.36
312,muros,1,US,1579573489,78,41.39,-84.13,23.0,3.91
313,kruisfontein,90,HU,1579573680,100,47.61,18.51,34.0,1.12
314,kazachinskoye,75,AT,1579573681,86,48.75,15.96,32.0,4.7
315,eureka,1,VG,1579573682,94,18.42,-64.62,78.01,10.29
316,padang,40,CG,1579573683,88,-4.76,11.86,82.4,8.05
317,vanavara,100,RU,1579573685,98,60.42,134.53,-12.32,0.72
318,grabouw,36,NA,1579573686,30,-19.57,18.12,68.56,11.65
319,tuktoyaktuk,75,AR,1579573683,94,-31.42,-64.5,75.2,8.05
320,longyearbyen,100,RU,1579573688,92,53.96,105.88,-11.56,2.59
321,viedma,91,SS,1579573689,39,4.92,29.47,65.19,3.42
322,punta alta,75,MY,1579573690,74,4.41,114.01,87.8,8.05
323,eschwege,100,ID,1579573691,69,-0.95,122.79,83.79,6.91
324,preobrazheniye,94,TR,1579573693,95,41.25,32.69,23.92,4.25
325,pedasi,75,US,1579573694,71,37.34,-121.89,55.4,8.05
326,port hedland,99,RU,1579573695,76,55.94,110.1,-9.89,0.67
327,tortosa,34,ID,1579573696,69,-6.8,111.5,84.72,4.72
328,fort nelson,75,ES,1579573697,70,43.52,-8.15,51.01,8.05
329,samalaeulu,100,NZ,1579573698,68,-45.87,170.5,66.0,16.2
330,pacific grove,100,RU,1579573699,94,58.84,36.43,37.8,10.94
331,san rafael,39,PF,1579573701,74,-16.7,-151.02,82.47,8.86
332,twentynine palms,59,PH,1579573702,78,12.45,125.29,78.06,19.98
333,itaituba,0,NA,1579573703,87,-22.96,14.51,64.99,2.24
334,bahia honda,1,US,1579573704,51,35.22,-101.83,48.2,8.05
335,labuhan,40,MV,1579573705,83,4.17,73.51,82.4,14.99
336,los llanos de aridane,100,NZ,1579573706,74,-46.13,167.68,61.5,3.6
337,umiray,67,LY,1579573707,39,30.33,10.85,50.11,22.3
338,chuy,100,ML,1579573708,21,12.28,-10.97,73.47,1.61
339,saint-pierre,100,AR,1579573709,89,-26.79,-60.44,77.4,7.27
340,napoleon,100,GL,1579573711,66,60.14,-45.24,30.99,26.78
341,tarjan,90,US,1579573712,100,55.34,-131.65,42.8,3.36
342,retz,0,EG,1579573603,87,27.18,31.18,48.2,16.11
343,road town,53,MG,1579573714,77,-25.17,45.05,64.92,10.67
344,loandjili,100,SY,1579573715,93,35.3,37.18,42.3,12.12
345,ust-maya,38,MN,1579573716,74,48.81,103.53,2.73,2.93
346,grootfontein,100,GW,1579573717,60,11.28,-15.83,77.23,5.77
347,villa carlos paz,100,RU,1579573718,92,66.83,70.83,-1.57,10.89
348,kachug,40,US,1579573719,54,20.89,-156.47,80.6,20.8
349,maridi,100,RU,1579573720,89,50.3,87.73,-1.73,6.04
350,miri,100,MZ,1579573722,94,-16.23,39.91,74.7,6.33
351,tunduru,82,VN,1579573723,68,21.32,103.9,69.3,2.04
352,sentyabrskiy,90,RU,1579573724,86,59.85,31.48,42.01,13.42
353,luwuk,40,GB,1579573725,100,50.44,-3.57,37.99,2.24
354,safranbolu,75,PR,1579573726,84,18.49,-66.83,78.01,8.05
355,san jose,20,KY,1579573727,78,19.28,-81.25,80.6,9.17
356,kichera,51,SD,1579573728,18,11.02,29.72,62.69,19.22
357,gambiran,0,FR,1579573729,100,48.29,4.05,32.0,5.82
358,naron,1,US,1579573730,64,33.19,-82.53,37.4,5.82
359,dunedin,100,RU,1579573732,90,46.49,135.88,5.45,4.88
360,ustyuzhna,100,RU,1579573733,96,62.71,56.2,2.88,7.09
361,burica,45,ZW,1579573734,90,-20.93,29.0,58.32,7.85
362,fare,89,ML,1579573735,25,11.09,-6.89,72.32,3.83
363,anito,40,BR,1579573736,74,-8.01,-34.86,82.4,6.93
364,walvis bay,100,IS,1579573737,72,64.89,-23.71,34.11,33.02
365,amarillo,1,KR,1579573596,37,37.57,126.98,33.8,1.21
366,male,0,ZA,1579573739,88,-33.01,17.94,62.6,8.05
367,tuatapere,45,BR,1579573740,96,-0.13,-67.09,73.53,1.48
368,vaitupu,1,US,1579573742,72,31.77,-93.13,37.4,2.93
369,nalut,0,AU,1579573743,36,-34.73,135.87,75.22,5.88
370,dire,40,RU,1579573744,72,69.49,88.4,-40.0,4.47
371,presidencia roque saenz pena,90,BR,1579573682,94,-20.33,-40.29,71.6,3.36
372,nanortalik,95,BR,1579573746,98,1.0,-52.0,72.0,2.51
373,ketchikan,36,ID,1579573747,48,-7.63,109.25,93.61,1.25
374,asyut,84,RU,1579573748,92,58.84,125.49,-10.71,5.32
375,beloha,100,CD,1579573749,95,-2.47,28.82,60.82,1.34
376,abu samrah,75,ID,1579573750,88,-10.17,123.58,80.6,9.17
377,bulgan,89,KZ,1579573752,91,44.16,80.0,12.09,1.68
378,bubaque,0,AU,1579573753,47,-32.5,137.77,79.0,13.87
379,yar-sale,0,ER,1579573754,90,15.11,36.66,55.6,7.31
380,kahului,100,ML,1579573755,21,15.0,-2.95,65.35,3.38
381,aktash,0,SD,1579573756,38,14.2,24.67,44.06,4.18
382,angoche,0,GB,1579573757,93,50.12,-5.54,46.0,11.41
383,son la,1,US,1579573677,67,42.04,-87.69,26.6,6.93
